set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1713370	aminocoumarin antibiotic	4	0
RM2016_batch03_global10	ERR1713370	aminoglycoside antibiotic	20	7
RM2016_batch03_global10	ERR1713370	carbapenem	11	2
RM2016_batch03_global10	ERR1713370	cephalosporin	24	5
RM2016_batch03_global10	ERR1713370	cephamycin	9	2
RM2016_batch03_global10	ERR1713370	diaminopyrimidine antibiotic	2	1
RM2016_batch03_global10	ERR1713370	disinfecting agents and antiseptics	34	5
RM2016_batch03_global10	ERR1713370	fluoroquinolone antibiotic	42	4
RM2016_batch03_global10	ERR1713370	glycopeptide antibiotic	118	0
RM2016_batch03_global10	ERR1713370	glycylcycline	9	0
RM2016_batch03_global10	ERR1713370	lincosamide antibiotic	13	6
RM2016_batch03_global10	ERR1713370	macrolide antibiotic	20	7
RM2016_batch03_global10	ERR1713370	monobactam	3	0
RM2016_batch03_global10	ERR1713370	nitrofuran antibiotic	1	0
RM2016_batch03_global10	ERR1713370	nitroimidazole antibiotic	22	1
RM2016_batch03_global10	ERR1713370	nucleoside antibiotic	8	3
RM2016_batch03_global10	ERR1713370	oxazolidinone antibiotic	1	0
RM2016_batch03_global10	ERR1713370	penam	30	5
RM2016_batch03_global10	ERR1713370	penem	4	1
RM2016_batch03_global10	ERR1713370	peptide antibiotic	4	1
RM2016_batch03_global10	ERR1713370	phenicol antibiotic	19	3
RM2016_batch03_global10	ERR1713370	pleuromutilin antibiotic	1	1
RM2016_batch03_global10	ERR1713370	rifamycin antibiotic	8	0
RM2016_batch03_global10	ERR1713370	streptogramin A antibiotic	4	2
RM2016_batch03_global10	ERR1713370	streptogramin B antibiotic	4	2
RM2016_batch03_global10	ERR1713370	streptogramin antibiotic	6	4
RM2016_batch03_global10	ERR1713370	sulfonamide antibiotic	4	1
RM2016_batch03_global10	ERR1713370	tetracycline antibiotic	50	4
