set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1713346	aminocoumarin antibiotic	4	3
RM2016_batch03_global10	ERR1713346	aminoglycoside antibiotic	10	3
RM2016_batch03_global10	ERR1713346	carbapenem	6	2
RM2016_batch03_global10	ERR1713346	cephalosporin	20	4
RM2016_batch03_global10	ERR1713346	cephamycin	9	1
RM2016_batch03_global10	ERR1713346	diaminopyrimidine antibiotic	4	1
RM2016_batch03_global10	ERR1713346	disinfecting agents and antiseptics	27	3
RM2016_batch03_global10	ERR1713346	fluoroquinolone antibiotic	32	6
RM2016_batch03_global10	ERR1713346	glycopeptide antibiotic	82	1
RM2016_batch03_global10	ERR1713346	glycylcycline	11	3
RM2016_batch03_global10	ERR1713346	lincosamide antibiotic	9	1
RM2016_batch03_global10	ERR1713346	macrolide antibiotic	18	0
RM2016_batch03_global10	ERR1713346	monobactam	3	1
RM2016_batch03_global10	ERR1713346	nitrofuran antibiotic	1	0
RM2016_batch03_global10	ERR1713346	nitroimidazole antibiotic	8	1
RM2016_batch03_global10	ERR1713346	nucleoside antibiotic	5	0
RM2016_batch03_global10	ERR1713346	penam	24	4
RM2016_batch03_global10	ERR1713346	penem	4	2
RM2016_batch03_global10	ERR1713346	peptide antibiotic	8	1
RM2016_batch03_global10	ERR1713346	phenicol antibiotic	13	3
RM2016_batch03_global10	ERR1713346	phosphonic acid antibiotic	2	0
RM2016_batch03_global10	ERR1713346	pleuromutilin antibiotic	1	0
RM2016_batch03_global10	ERR1713346	rifamycin antibiotic	11	2
RM2016_batch03_global10	ERR1713346	streptogramin A antibiotic	2	0
RM2016_batch03_global10	ERR1713346	streptogramin B antibiotic	2	0
RM2016_batch03_global10	ERR1713346	streptogramin antibiotic	4	0
RM2016_batch03_global10	ERR1713346	sulfonamide antibiotic	1	1
RM2016_batch03_global10	ERR1713346	tetracycline antibiotic	33	5
