Organism,0
Enterococcus gilvus,644339.5
Unspeciated Staphylococcus,520542.5
Unspeciated Enterobacter,431260.6666666667
Acinetobacter nosocomialis,431058.6666666667
Pantoea piersonii,423619.3333333333
Acinetobacter proteolyticus,422166.44444444444
Staphylococcus saprophyticus,413785.4944071588
Acinetobacter vivianii,410996.82222222217
Acinetobacter variabilis,410374.3333333333
Pantoea anthophila,409265.6666666667
Acinetobacter baumannii,408296.6666666667
Kluyvera ascorbata,403206.9333333333
Acinetobacter haemolyticus,402884.25
Enterobacter hormaechei,402470.97668997664
Staphylococcus petrasii,401990.22222222225
Acinetobacter guillouiae,401257.93333333335
Haemophilus parainfluenzae,400723.1778431556
Acinetobacter bereziniae,399667.760749255
Enterococcus pallens,399277.6666666667
Kosakonia cowanii,398910.75
Klebsiella variicola,398238.3717105831
Streptococcus gordonii,397425.15625
Pseudocitrobacter faecalis,397321.6666666667
Streptococcus infantarius,396678.22222222225
Unspeciated Citrobacter,396290.7407407407
Staphylococcus saprophyticus/xylosus,395835.1666666667
Acinetobacter courvalinii,394339.69696969696
Acinetobacter dispersus,393629.6666666667
Acinetobacter beijerinckii,393358.44444444444
Acinetobacter baumannii-calcoaceticus species complex,392880.20643114723
Pantoea ananatis,392643.55555555556
Escherichia hermannii,392406.75
Acinetobacter ursingii,392316.37029220775
Pantoea dispersa,392005.3333333333
Staphylococcus argenteus,391027.0
Enterococcus mundtii,390979.3333333333
Acinetobacter junii,388997.28730158735
Escherichia vulneris,388542.33333333326
Proteus vulgaris,388479.035042735
Acinetobacter radioresistens,388414.86775878444
Enterobacter cloacae species complex,388153.7376169371
Stenotrophomonas maltophilia,387112.0582362492
Staphylococcus pseudintermedius,387100.3333333333
Enterococcus hermanniensis,387029.3333333333
Acinetobacter gyllenbergii,386788.6666666667
Klebsiella planticola,386540.0
Streptococcus equinus group,386412.85757575766
Staphylococcus lugdunensis,385860.62188960466
Streptococcus mitis group,384337.95498251746
Enterobacter cancerogenus,383601.0
Streptococcus intermedius,383129.02777777775
Streptococcus salivarius group,382420.96485421597
Pantoea eucrina,381951.5
Unspeciated Acinetobacter,380611.56
Acinetobacter lwoffii,379999.37692307687
Acinetobacter schindleri,379931.6666666667
Streptococcus anginosus group,379047.3366172624
Citrobacter amalonaticus / farmeri,378959.92156862747
Serratia liquefaciens complex,378664.1904761905
Pluralibacter gergoviae,377736.141325536
Staphylococcus pettenkoferi,377552.5384615385
Serratia odorifera,376695.55555555556
Serratia plymuthica,376668.1666666667
Streptococcus sanguinis,376266.8213188799
Streptococcus constellatus,376125.43209876545
Klebsiella pneumoniae,375910.5072883261
Proteus penneri,374281.85000000003
Moraxella catarrhalis,374223.4600121714
Haemophilus influenzae,373781.4118280933
Unspeciated Raoultella,373660.9100606454
Enterococcus raffinosus,373598.87179487175
Moraxella nonliquefaciens,373097.86666666664
Unspeciated Cronobacter,372703.6666666667
Streptococcus canis,372316.7843137255
Acinetobacter johnsonii,371288.89999999997
Acinetobacter soli,370889.13333333336
Enterococcus avium,370258.3878859237
Unspeciated Providencia,370128.7
Serratia marcescens,369714.7561479742
Staphylococcus capitis,369334.420428222
Staphylococcus epidermidis,369135.51927667396
Staphylococcus aureus,368988.8353248657
Pantoea agglomerans,368812.1798245614
Streptococcus mutans,368811.60000000003
Serratia fonticola,368676.6666666667
Staphylococcus hominis,368468.1598457185
Escherichia coli,367921.52472254145
Providencia rettgeri,367829.7805369128
Streptococcus anginosus,367801.21703353344
Moraxella osloensis,367222.75757575757
Streptococcus salivarius/ vestibularis,366780.4168755222
Citrobacter freundii species complex,365780.08914643567
Raoultella ornithinolytica,365729.1103988604
Raoultella planticola,365526.266025641
Enterococcus faecium,365310.4965524394
Klebsiella aerogenes,365147.8459109964
Streptococcus parasanguinis,364459.7113662457
Streptococcus lutetiensis,364129.5952380952
Serratia liquefaciens,364011.8832535884
Staphylococcus simulans,363693.1964285714
Proteus mirabilis,363353.9214507991
Pseudomonas aeruginosa,363261.7926088872
Proteus hauseri,362565.3636363636
Citrobacter koseri,362510.6404503647
Streptococcus gallolyticus,362286.46547008544
Streptococcus pneumoniae,361934.66650214145
Streptococcus pyogenes,361197.8830984181
Providencia stuartii,361056.87834224594
Klebsiella oxytoca,360192.4681978621
Morganella morganii,359658.1317041402
Streptococcus vestibularis,359613.96666666673
Streptococcus equi,359353.0
Lelliottia amnigena,359152.9682539682
Unspeciated Pantoea,359130.53404067195
Enterococcus faecalis,359037.88022596104
Enterobacter cloacae,358564.503267766
Cronobacter sakazakii,358503.8333333333
Staphylococcus caprae,358250.64827586204
Salmonella enterica subsp. enterica serovar typhi,357785.6666666667
Staphylococcus auricularis,357097.75
Yersinia enterocolitica,355981.0
Enterobacter kobei,355085.4814814814
Enterococcus casseliflavus,355050.7754467754
Enterococcus gallinarum,354931.2696969698
Hafnia alvei,354422.6185907859
Staphylococcus warneri,353747.4715447154
Staphylococcus haemolyticus,353334.50035845797
Unspeciated Salmonella,352928.3333333333
Enterococcus hirae,352607.8154761905
Streptococcus cristatus,352449.77777777775
Proteus vulgaris group,352330.458227634
Rahnella aquatilis,352261.0
Leclercia adecarboxylata,352199.9047619048
Streptococcus massiliensis,351832.0833333333
Unspeciated Erwinia,351079.0
Staphylococcus cohnii / Staphylococcus ureilyticus,347067.3333333333
Streptococcus oralis,346928.2599206349
Streptococcus agalactiae,346237.18511494255
Streptococcus dysgalactiae,346166.69787036633
Serratia rubidaea,345949.94444444444
Enterobacter asburiae,345448.57692307694
Gram negative rods in the Family Enterobacteriaceae,345078.55555555556
Streptococcus equinus,344904.1666666667
Streptococcus infantis,344775.0
Streptococcus mitis/ oralis,342683.7816091954
Staphylococcus schleiferi,340509.3333333333
Citrobacter amalonaticus,340493.7619047619
Enterococcus durans,340326.5
Phytobacter diazotrophicus,340215.6666666667
Streptococcus australis,340011.27777777775
Escherichia fergusonii,338850.8333333333
Providencia alcalifaciens,337695.8333333333
Streptococcus salivarius,333662.0512820513
