set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_batch03_global10	ERR1725981	aminoglycoside antibiotic	8	4
RM2016_batch03_global10	ERR1725981	carbapenem	9	3
RM2016_batch03_global10	ERR1725981	cephalosporin	11	3
RM2016_batch03_global10	ERR1725981	cephamycin	2	0
RM2016_batch03_global10	ERR1725981	diaminopyrimidine antibiotic	1	1
RM2016_batch03_global10	ERR1725981	disinfecting agents and antiseptics	15	1
RM2016_batch03_global10	ERR1725981	elfamycin antibiotic	1	0
RM2016_batch03_global10	ERR1725981	fluoroquinolone antibiotic	5	0
RM2016_batch03_global10	ERR1725981	glycopeptide antibiotic	23	0
RM2016_batch03_global10	ERR1725981	glycylcycline	1	0
RM2016_batch03_global10	ERR1725981	lincosamide antibiotic	7	2
RM2016_batch03_global10	ERR1725981	macrolide antibiotic	12	7
RM2016_batch03_global10	ERR1725981	monobactam	1	0
RM2016_batch03_global10	ERR1725981	nitroimidazole antibiotic	1	0
RM2016_batch03_global10	ERR1725981	penam	15	3
RM2016_batch03_global10	ERR1725981	peptide antibiotic	1	0
RM2016_batch03_global10	ERR1725981	phenicol antibiotic	1	0
RM2016_batch03_global10	ERR1725981	phosphonic acid antibiotic	2	0
RM2016_batch03_global10	ERR1725981	streptogramin A antibiotic	2	1
RM2016_batch03_global10	ERR1725981	streptogramin B antibiotic	2	1
RM2016_batch03_global10	ERR1725981	streptogramin antibiotic	3	2
RM2016_batch03_global10	ERR1725981	sulfonamide antibiotic	2	1
RM2016_batch03_global10	ERR1725981	tetracycline antibiotic	10	1
